"Country","CountryTag","Date","depression","anxiety","suicide","worry","fear","sad"
"Australia","AU","2020-01-01",26.9333333333333,50.0902934537246,18.5748502994012,44.1450777202073,30.671679197995,30.7432432432432
"Australia","AU","2020-01-02",29.0051282051282,57.961625282167,8.29940119760479,34.2124352331606,20.0952380952381,35.0472972972973
"Australia","AU","2020-01-03",26.4153846153846,43.6501128668172,8.69461077844311,23.1761658031088,28.0275689223058,35.6621621621622
"Australia","AU","2020-01-04",37.8102564102564,19.3205417607223,11.4610778443114,18.2098445595855,52.8822055137845,36.8918918918919
"Australia","AU","2020-01-05",35.2205128205128,68.6952595936795,13.8323353293413,23.7279792746114,16.922305764411,33.2027027027027
"Australia","AU","2020-01-06",22.7897435897436,52.2370203160271,20.1556886227545,21.520725388601,29.6140350877193,39.3513513513514
"Australia","AU","2020-01-07",38.8461538461538,35.0632054176072,13.0419161676647,0,35.4310776942356,30.7432432432432
"Australia","AU","2020-01-08",29.0051282051282,62.9706546275395,13.437125748503,27.0388601036269,28.0275689223058,54.722972972973
"Australia","AU","2020-01-09",18.1282051282051,50.8058690744921,13.437125748503,21.520725388601,17.4511278195489,30.1283783783784
"Australia","AU","2020-01-10",25.8974358974359,52.2370203160271,14.2275449101796,17.1062176165803,31.2005012531328,50.4189189189189
"Australia","AU","2020-01-11",28.4871794871795,45.0812641083521,8.29940119760479,37.5233160621762,32.2581453634085,60.8716216216216
"Australia","AU","2020-01-12",26.9333333333333,46.5124153498871,15.8083832335329,41.3860103626943,24.8546365914787,26.4391891891892
"Australia","AU","2020-01-13",26.4153846153846,60.823927765237,39.5209580838323,31.4533678756477,38.6040100250627,44.2702702702703
"Australia","AU","2020-01-14",37.2923076923077,59.392776523702,21.7365269461078,19.3134715025907,33.3157894736842,33.8175675675676
"Australia","AU","2020-01-15",23.3076923076923,47.2279909706546,15.8083832335329,9.93264248704663,26.4411027568922,51.6486486486487
"Australia","AU","2020-01-16",47.6512820512821,52.9525959367946,20.1556886227545,32.5569948186528,15.8646616541353,50.4189189189189
"Australia","AU","2020-01-17",30.5589743589744,36.4943566591422,23.3173652694611,22.6243523316062,43.8922305764411,47.9594594594595
"Australia","AU","2020-01-18",30.0410256410256,50.8058690744921,22.1317365269461,18.7616580310881,30.1428571428571,52.8783783783784
"Australia","AU","2020-01-19",36.774358974359,63.686230248307,13.437125748503,17.1062176165803,20.0952380952381,34.4324324324324
"Australia","AU","2020-01-20",27.9692307692308,62.255079006772,7.11377245508982,20.9689119170984,33.8446115288221,46.7297297297297
"Australia","AU","2020-01-21",51.7948717948718,55.0993227990971,18.9700598802395,21.520725388601,24.3258145363409,50.4189189189189
"Australia","AU","2020-01-22",46.0974358974359,48.6591422121896,20.1556886227545,27.0388601036269,26.4411027568922,61.4864864864865
"Australia","AU","2020-01-23",30.5589743589744,58.6772009029345,16.5988023952096,26.4870466321244,22.7393483709273,43.6554054054054
"Australia","AU","2020-01-24",50.2410256410256,60.1083521444695,12.6467065868263,28.6943005181347,31.7293233082707,44.2702702702703
"Australia","AU","2020-01-25",33.148717948718,49.3747178329571,17.3892215568862,0,30.1428571428571,55.3378378378378
"Australia","AU","2020-01-26",35.2205128205128,53.6681715575621,19.3652694610778,43.0414507772021,32.2581453634085,25.2094594594595
"Australia","AU","2020-01-27",42.4717948717949,50.8058690744921,12.251497005988,55.1813471502591,26.9699248120301,49.1891891891892
"Australia","AU","2020-01-28",33.148717948718,71.5575620767494,15.8083832335329,36.9715025906736,22.2105263157895,34.4324324324324
"Australia","AU","2020-01-29",27.4512820512821,59.392776523702,19.7604790419162,36.9715025906736,24.3258145363409,30.1283783783784
"Australia","AU","2020-01-30",33.148717948718,42.2189616252822,14.2275449101796,5.51813471502591,13.749373433584,49.8040540540541
"Australia","AU","2020-01-31",30.0410256410256,44.3656884875846,24.1077844311377,39.1787564766839,26.9699248120301,27.0540540540541
"Australia","AU","2020-02-01",45.7692307692308,54.5146726862302,22.0958083832335,31.4041450777202,22.8070175438596,35.204954954955
"Australia","AU","2020-02-02",43.1538461538462,53.0609480812641,53.8922155688623,23.8238341968912,28.671679197995,40.2342342342342
"Australia","AU","2020-02-03",35.9615384615385,46.5191873589165,22.6347305389222,54.1450777202073,30.6265664160401,46.7004504504504
"Australia","AU","2020-02-04",51.6538461538462,47.2460496613995,21.5568862275449,22.740932642487,30.6265664160401,40.2342342342342
"Australia","AU","2020-02-05",28.7692307692308,72.686230248307,17.7844311377246,16.7849740932642,33.8847117794486,68.972972972973
"Australia","AU","2020-02-06",50.3461538461538,43.6117381489842,22.0958083832335,16.2435233160622,29.3233082706767,51.0112612612613
"Australia","AU","2020-02-07",37.2692307692308,67.5981941309255,17.7844311377246,41.1502590673575,38.4461152882205,39.5157657657658
"Australia","AU","2020-02-08",41.1923076923077,53.7878103837472,25.8682634730539,12.4533678756477,20.2005012531328,62.5067567567568
"Australia","AU","2020-02-09",46.4230769230769,64.6907449209932,22.6347305389222,23.2823834196891,33.2330827067669,66.0990990990991
"Australia","AU","2020-02-10",52.9615384615385,50.1534988713318,21.5568862275449,27.0725388601036,38.4461152882205,40.2342342342342
"Australia","AU","2020-02-11",42.5,66.1444695259594,16.1676646706587,32.4870466321244,14.3358395989975,48.1373873873874
"Australia","AU","2020-02-12",52.3076923076923,67.5981941309255,19.4011976047904,21.1165803108808,25.4135338345865,35.9234234234234
"Australia","AU","2020-02-13",44.4615384615385,38.5237020316027,17.7844311377246,42.7746113989637,37.1428571428571,53.8851351351351
