date,depression,anxiety,suicide,worry,fear,worrying,sad,Country
2020-09-01,48,51,12,0,46,42,0,AU
2020-09-02,45,78,25,0,23,0,56,AU
2020-09-03,64,50,25,24,0,43,28,AU
2020-09-04,38,48,13,0,37,0,0,AU
2020-09-05,70,78,30,29,42,0,34,AU
2020-09-06,37,60,85,0,13,0,64,AU
2020-09-07,57,79,85,0,69,0,0,AU
2020-09-08,70,93,48,71,80,0,55,AU
2020-09-09,56,75,100,74,47,0,57,AU
2020-09-10,55,76,49,24,46,0,28,AU
2020-09-11,52,54,26,52,12,0,0,AU
2020-09-12,42,25,44,0,68,0,0,AU
2020-09-13,70,63,28,56,40,0,64,AU
2020-09-14,51,80,0,0,46,0,0,AU
2020-09-15,46,78,25,0,24,0,29,AU
2020-09-16,42,65,12,25,23,0,0,AU
2020-09-17,43,85,13,0,24,44,28,AU
2020-09-18,52,59,27,26,25,0,30,AU
2020-09-19,31,43,0,59,14,0,34,AU
2020-09-20,29,78,14,0,26,0,0,AU
2020-09-21,43,46,13,25,47,0,0,AU
2020-09-22,39,68,38,49,47,0,0,AU
2020-09-23,40,62,38,25,0,0,0,AU
2020-09-24,44,60,26,25,48,0,29,AU
2020-09-25,45,55,43,0,13,0,0,AU
2020-09-26,54,67,16,62,30,0,0,AU
2020-09-27,49,36,62,30,15,0,0,AU
2020-09-28,51,59,14,0,26,0,0,AU
2020-09-29,47,74,14,27,26,48,31,AU
2020-09-30,54,53,14,54,13,48,0,AU
2020-10-01,58,54,14,27,26,98,32,AU
2020-10-02,73,42,15,29,14,0,0,AU
2020-10-03,37,42,31,0,44,0,0,AU
2020-10-04,56,77,31,0,29,0,35,AU
2020-10-05,59,73,57,28,80,0,0,AU
2020-10-06,52,36,0,0,25,0,0,AU
2020-10-07,27,53,13,26,0,46,30,AU
2020-10-08,32,54,13,53,25,0,0,AU
2020-10-09,32,77,0,0,57,0,0,AU
2020-10-10,53,49,34,100,16,0,0,AU
2020-10-11,77,72,0,32,46,0,0,AU
2020-10-12,84,65,0,29,41,51,0,AU
2020-10-13,91,76,0,29,14,51,66,AU
2020-10-14,53,59,73,0,41,0,33,AU
2020-10-15,45,61,43,57,0,0,33,AU
2020-10-16,48,45,31,0,0,0,0,AU
2020-10-17,55,53,0,96,76,0,37,AU
2020-10-18,24,44,31,30,58,54,69,AU
2020-10-19,68,52,29,0,13,0,0,AU
2020-10-20,57,82,29,57,55,0,0,AU
2020-10-21,35,51,30,29,42,0,0,AU
2020-10-22,62,63,30,0,14,0,34,AU
2020-10-23,64,42,15,30,14,0,0,AU
2020-10-24,32,51,0,31,0,0,0,AU
2020-10-25,56,65,0,30,0,54,70,AU
2020-10-26,63,35,28,0,13,0,96,AU
2020-10-27,30,60,14,28,53,0,0,AU
2020-10-28,52,65,0,28,40,0,0,AU
2020-10-29,60,55,14,0,27,50,0,AU
2020-10-30,51,47,0,0,28,0,0,AU
2020-10-31,58,28,16,31,15,56,36,AU
2020-11-01,54,46,0,31,30,0,36,AU
2020-11-02,64,72,0,28,0,0,0,AU
2020-11-03,90,42,86,28,27,0,0,AU
2020-11-04,49,49,23,23,33,0,0,AU
2020-11-05,48,47,0,0,23,0,28,AU
2020-11-06,36,37,14,0,13,48,31,AU
2020-11-07,55,35,0,0,28,0,34,AU
2020-11-08,36,74,0,0,14,0,0,AU
2020-11-09,37,55,0,0,27,0,0,AU
